Date,Gender,Region,Device Category,Age,Users,Transactions
20220602,female,California,desktop,25-34,53,49
20220606,female,California,desktop,18-24,53,34
20220608,female,California,desktop,18-24,53,11
20220621,female,California,desktop,25-34,53,23
20220627,male,California,desktop,25-34,53,38
20220714,male,California,desktop,18-24,53,38
20220722,male,California,desktop,18-24,53,42
20220725,male,California,desktop,25-34,53,8
20220725,male,California,desktop,35-44,53,42
20220803,male,California,desktop,18-24,53,23
20220803,male,California,desktop,25-34,53,23
20220805,male,California,desktop,18-24,53,15
20220809,female,California,desktop,25-34,53,23
20220809,male,California,desktop,35-44,53,19
20220815,female,California,desktop,25-34,53,45
20220815,male,California,desktop,18-24,53,26
20220817,male,California,desktop,25-34,53,19
20220822,male,California,desktop,18-24,53,23
20220822,male,California,desktop,25-34,53,8
20220922,male,California,desktop,25-34,53,49
20220927,female,New York,desktop,25-34,53,64
20220928,male,California,desktop,18-24,53,34
20221012,female,California,desktop,25-34,53,4
20221014,male,California,desktop,35-44,53,23
20221019,male,California,desktop,18-24,53,34
20221019,male,California,desktop,25-34,53,23
20221024,male,California,desktop,25-34,53,15
20221025,male,California,desktop,25-34,53,42
20221107,female,California,desktop,25-34,53,26
20221109,female,California,desktop,25-34,53,30
20221109,male,California,desktop,35-44,53,11
20221114,male,California,desktop,25-34,53,38
20221129,male,California,desktop,35-44,53,15
20221213,female,California,desktop,18-24,53,26
20210331,male,California,desktop,18-24,49,23
20210628,female,California,desktop,25-34,49,26
20210629,male,California,desktop,35-44,49,64
20210630,male,California,desktop,25-34,49,38
20210720,male,California,desktop,18-24,49,30
20210721,female,California,desktop,18-24,49,8
20210726,female,California,desktop,25-34,49,30
20210802,female,California,desktop,25-34,49,60
20210804,male,California,desktop,35-44,49,45
20210806,male,California,desktop,25-34,49,76
20210819,male,Washington,desktop,25-34,49,57
20211007,male,California,desktop,25-34,49,11
20211019,female,California,desktop,25-34,49,23
20211028,male,California,desktop,25-34,49,15
20211108,male,California,desktop,35-44,49,57
20211109,male,California,desktop,35-44,49,38
20211117,female,California,desktop,25-34,49,4
20211118,male,California,desktop,25-34,49,23
20211201,female,California,desktop,25-34,49,4
20211203,female,California,desktop,25-34,49,15
20211208,female,California,desktop,25-34,49,26
20211208,male,California,desktop,35-44,49,53
20220107,female,California,desktop,25-34,49,4
20220126,male,California,desktop,25-34,49,34
20220127,male,California,desktop,25-34,49,26
20220307,male,California,desktop,35-44,49,15
20220308,male,California,desktop,25-34,49,23
20220314,male,California,desktop,18-24,49,26
20220404,female,California,desktop,25-34,49,11
20220412,male,California,desktop,25-34,49,8
